Dataset,Training Set Size,Min Steps,Max Steps,Weight Steps,Batch Size,Steps / Epoch,Min Epochs,Max Epochs,Wait Epochs,Bool Argument,Env Variable
boolean8,"146,488","50,000","1,000,000","20,000",512,287,175,3485,70,TRUE,"DATASET=boolean8,EPOCHS=3485,N_MIN_EPOCHS=175,EARLY_STOPPING=70,BOOL_DATASET_ARG=--bool_dataset"
oneVarPoly13,"60,128","50,000","1,000,000","20,000",512,118,424,8475,170,,"DATASET=oneVarPoly13,EPOCHS=8475,N_MIN_EPOCHS=424,EARLY_STOPPING=170"
simplepoly10,"31,143","50,000","1,000,000","20,000",512,61,820,16394,328,,"DATASET=simplepoly10,EPOCHS=16394,N_MIN_EPOCHS=820,EARLY_STOPPING=328"
simpleBoolean8,"21,604","50,000","1,000,000","20,000",512,43,1163,23256,466,TRUE,"DATASET=simpleBoolean8,EPOCHS=23256,N_MIN_EPOCHS=1163,EARLY_STOPPING=466,BOOL_DATASET_ARG=--bool_dataset"
boolean10,"25,560","50,000","1,000,000","20,000",512,50,1000,20000,400,TRUE,"DATASET=boolean10,EPOCHS=20000,N_MIN_EPOCHS=1000,EARLY_STOPPING=400,BOOL_DATASET_ARG=--bool_dataset"
simpleBoolean10,"13,081","50,000","1,000,000","20,000",512,26,1924,38462,770,TRUE,"DATASET=simpleBoolean10,EPOCHS=38462,N_MIN_EPOCHS=1924,EARLY_STOPPING=770,BOOL_DATASET_ARG=--bool_dataset"
largeBoolean5,"23,219","50,000","1,000,000","20,000",512,46,1087,21740,435,TRUE,"DATASET=largeBoolean5,EPOCHS=21740,N_MIN_EPOCHS=1087,EARLY_STOPPING=435,BOOL_DATASET_ARG=--bool_dataset"
poly8,"6,785","50,000","1,000,000","20,000",512,14,3572,71429,1429,,"DATASET=poly8,EPOCHS=71429,N_MIN_EPOCHS=3572,EARLY_STOPPING=1429"
simplepoly8,"1,934","50,000","1,000,000","20,000",512,4,12500,250000,5000,,"DATASET=simplepoly8,EPOCHS=250000,N_MIN_EPOCHS=12500,EARLY_STOPPING=5000"
largeSimpleBoolean5,"6,009","50,000","1,000,000","20,000",512,12,4167,83334,1667,TRUE,"DATASET=largeSimpleBoolean5,EPOCHS=83334,N_MIN_EPOCHS=4167,EARLY_STOPPING=1667,BOOL_DATASET_ARG=--bool_dataset"
oneVarPoly10,767,"50,000","1,000,000","20,000",512,2,25000,500000,10000,,"DATASET=oneVarPoly10,EPOCHS=500000,N_MIN_EPOCHS=25000,EARLY_STOPPING=10000"
boolean5,712,"50,000","1,000,000","20,000",512,2,25000,500000,10000,TRUE,"DATASET=boolean5,EPOCHS=500000,N_MIN_EPOCHS=25000,EARLY_STOPPING=10000,BOOL_DATASET_ARG=--bool_dataset"
poly5,352,"50,000","1,000,000","20,000",512,1,50000,1000000,20000,,"DATASET=poly5,EPOCHS=1000000,N_MIN_EPOCHS=50000,EARLY_STOPPING=20000"
simplepoly5,156,"50,000","1,000,000","20,000",512,1,50000,1000000,20000,,"DATASET=simplepoly5,EPOCHS=1000000,N_MIN_EPOCHS=50000,EARLY_STOPPING=20000"
